Id,Rendező,Cím,Műfaj,Hossz,Nyelv,MegjelenésiDátum,imDbÉrtékelés,SajátÉrtékelés
1,"Christopher Nolan",Eredet,13,02:28:00,angol,2010-07-16,8.8,9
2,"Francis Ford Coppola","A keresztapa",11,02:55:00,angol,1972-03-24,9.2,10
3,"Quentin Tarantino",Ponyvaregeny,11,02:34:00,angol,1994-10-14,8.9,9
4,"Peter Jackson","A Gyuruk Ura: A gyuru szovetsege",6,02:58:00,angol,2001-12-19,8.8,10
5,"Robert Zemeckis","Forrest Gump",5,02:22:00,angol,1994-07-06,8.8,9
6,"David Fincher","Harcosok klubja",5,02:19:00,angol,1999-10-15,8.8,9
7,"Ridley Scott",Gladiator,7,02:35:00,angol,2000-05-05,8.5,8
8,"James Cameron",Titanic,12,03:14:00,angol,1997-12-19,7.9,8
9,"George Lucas","Csillagok haboruja IV.",13,02:01:00,angol,1977-05-25,8.6,9
10,"Stanley Kubrick",Ragyogas,8,02:26:00,angol,1980-05-23,8.4,8
11,"Martin Scorsese",Nagymenok,11,02:26:00,angol,1990-09-19,8.7,9
12,"Bong Joon-ho",Eloskodok,14,02:12:00,koreai,2019-05-30,8.5,9
13,"Denis Villeneuve",Dune,13,02:35:00,angol,2021-10-22,8,8
14,"Tim Burton","Edward Ollokezu",6,01:45:00,angol,1990-12-14,7.9,8
15,"Damien Chazelle","Kaliforniai alom",10,02:08:00,angol,2016-12-09,8,8
16,"Hayao Miyazaki","Chihiro Szellemorszagban",3,02:05:00,japan,2001-07-20,8.6,10
17,"Alfred Hitchcock",Psycho,14,01:49:00,angol,1960-09-08,8.5,9
18,"Lana Wachowski",Matrix,13,02:16:00,angol,1999-03-31,8.7,9
19,"Roman Polanski","A zongorista",5,02:30:00,angol,2002-05-24,8.5,9
20,"Todd Phillips",Joker,5,02:02:00,angol,2019-10-04,8.4,8
21,"Wes Anderson","Grand Budapest Hotel",4,01:39:00,angol,2014-03-28,8.1,8
22,"Clint Eastwood","Gran Torino",5,01:56:00,angol,2008-12-12,8.1,9
23,"Luc Besson","Leon, a profi",1,01:50:00,angol,1994-09-14,8.5,9
24,"Mel Gibson","A rettenthetetlen",7,02:58:00,angol,1995-05-24,8.3,8
25,"Steven Spielberg","Ryan kozlegeny megmentese",7,02:49:00,angol,1998-07-24,8.6,9
26,"Coen testverek","Nem vennek valo videk",14,02:02:00,angol,2007-11-21,8.2,8
27,"Guy Ritchie",Bloff,11,01:42:00,angol,2000-08-23,8.3,8
28,"Fernando Meirelles","Isten varosa",11,02:10:00,portugal,2002-08-30,8.6,9
29,"Alejandro G. Inarritu",Visszatero,2,02:36:00,angol,2015-12-25,8,8
30,"Spike Jonze","A no",12,02:06:00,angol,2013-12-18,8,8
